T Cv
2.497500 1.501521
2.495003 1.501484
2.492507 1.501495
2.490015 1.501488
2.487525 1.501443
2.485037 1.501380
2.482552 1.501418
2.480070 1.501343
2.477590 1.501327
2.475112 1.501312
2.472637 1.501287
2.470164 1.501374
2.467694 1.501388
2.465227 1.501270
2.462761 1.501283
2.460299 1.501332
2.457838 1.501230
2.455380 1.501247
2.452925 1.501184
2.450472 1.501172
2.448022 1.501159
2.445574 1.501198
2.443128 1.501202
2.440685 1.501182
2.438244 1.501145
2.435806 1.501217
2.433370 1.501246
2.430937 1.501190
2.428506 1.501147
2.426077 1.501220
2.423651 1.501210
2.421228 1.501229
2.418806 1.501240
2.416388 1.501275
2.413971 1.501304
2.411557 1.501219
2.409146 1.501202
2.406737 1.501178
2.404330 1.501205
2.401926 1.501263
2.399524 1.501302
2.397124 1.501307
2.394727 1.501307
2.392332 1.501350
2.389940 1.501297
2.387550 1.501292
2.385162 1.501275
2.382777 1.501198
2.380394 1.501157
2.378014 1.501194
2.375636 1.501247
2.373260 1.501239
2.370887 1.501223
2.368516 1.501192
2.366148 1.501117
2.363782 1.501178
2.361418 1.501230
2.359056 1.501202
2.356697 1.501217
2.354341 1.501144
2.351986 1.501167
2.349634 1.501188
2.347285 1.501294
2.344937 1.501344
2.342592 1.501290
2.340250 1.501229
2.337910 1.501243
2.335572 1.501238
2.333236 1.501291
2.330903 1.501299
2.328572 1.501304
2.326243 1.501315
2.323917 1.501356
2.321593 1.501309
2.319272 1.501294
2.316952 1.501257
2.314635 1.501248
2.312321 1.501270
2.310009 1.501247
2.307698 1.501196
2.305391 1.501151
2.303085 1.501143
2.300782 1.501178
2.298482 1.501224
2.296183 1.501189
2.293887 1.501131
2.291593 1.501129
2.289301 1.501143
2.287012 1.501128
2.284725 1.501115
2.282440 1.501121
2.280158 1.501136
2.277878 1.501166
2.275600 1.501239
2.273324 1.501242
2.271051 1.501201
2.268780 1.501194
2.266511 1.501200
2.264245 1.501203
2.261980 1.501175
2.259718 1.501109
2.257459 1.501082
2.255201 1.501174
2.252946 1.501231
2.250693 1.501282
2.248442 1.501249
2.246194 1.501173
2.243948 1.501114
2.241704 1.501148
2.239462 1.501193
2.237223 1.501167
2.234985 1.501130
2.232750 1.501142
2.230518 1.501080
2.228287 1.501041
2.226059 1.501102
2.223833 1.501134
2.221609 1.501142
2.219387 1.501115
2.217168 1.501143
2.214951 1.501191
2.212736 1.501122
2.210523 1.501063
2.208313 1.501089
2.206104 1.501116
2.203898 1.501145
2.201694 1.501168
2.199493 1.501162
2.197293 1.501138
2.195096 1.501164
2.192901 1.501109
2.190708 1.501097
2.188517 1.501089
2.186329 1.501089
2.184142 1.501111
2.181958 1.501129
2.179776 1.501120
2.177596 1.501103
2.175419 1.501116
2.173243 1.501075
2.171070 1.501099
2.168899 1.501198
2.166730 1.501196
2.164563 1.501206
2.162399 1.501205
2.160236 1.501140
2.158076 1.501067
2.155918 1.501034
2.153762 1.501103
2.151608 1.501074
2.149457 1.501116
2.147307 1.501149
2.145160 1.501097
2.143015 1.501062
2.140872 1.501136
2.138731 1.501138
2.136592 1.501106
2.134456 1.501092
2.132321 1.501062
2.130189 1.501011
2.128059 1.500985
2.125931 1.501012
2.123805 1.501057
2.121681 1.501053
2.119559 1.501105
2.117440 1.501131
2.115322 1.501137
2.113207 1.501141
2.111094 1.501136
2.108983 1.501100
2.106874 1.501121
2.104767 1.501138
2.102662 1.501133
2.100559 1.501085
2.098459 1.501104
2.096360 1.501129
2.094264 1.501121
2.092170 1.501096
2.090078 1.500989
2.087987 1.500953
2.085899 1.500977
2.083814 1.500998
2.081730 1.501052
2.079648 1.501037
2.077568 1.501023
2.075491 1.501083
2.073415 1.501118
2.071342 1.501150
2.069271 1.501159
2.067201 1.501145
2.065134 1.501071
2.063069 1.501016
2.061006 1.501030
2.058945 1.501062
2.056886 1.501037
2.054829 1.501057
2.052774 1.501061
2.050721 1.501004
2.048671 1.500913
2.046622 1.501004
2.044575 1.501022
2.042531 1.500982
2.040488 1.501004
2.038448 1.501016
2.036409 1.500974
2.034373 1.501025
2.032339 1.501050
2.030306 1.501008
2.028276 1.500993
2.026248 1.501043
2.024221 1.501079
2.022197 1.500972
2.020175 1.500947
2.018155 1.500976
2.016137 1.501011
2.014121 1.501074
2.012106 1.501116
2.010094 1.501082
2.008084 1.501081
2.006076 1.501043
2.004070 1.501015
2.002066 1.501079
2.000064 1.501058
1.998064 1.500939
1.996066 1.500949
1.994070 1.501007
1.992076 1.501051
1.990084 1.501073
1.988094 1.501036
1.986105 1.501069
1.984119 1.501098
1.982135 1.501111
1.980153 1.501099
1.978173 1.501054
1.976195 1.501026
1.974219 1.500989
1.972244 1.500960
1.970272 1.500989
1.968302 1.501038
1.966334 1.501082
1.964367 1.501073
1.962403 1.501053
1.960440 1.501040
1.958480 1.501031
1.956521 1.501060
1.954565 1.501112
1.952610 1.501111
1.950658 1.501070
1.948707 1.501089
1.946758 1.501097
1.944812 1.501148
1.942867 1.501069
1.940924 1.501011
1.938983 1.501007
1.937044 1.501002
1.935107 1.501003
1.933172 1.501001
1.931239 1.501006
1.929308 1.501028
1.927378 1.501008
1.925451 1.500955
1.923525 1.500954
1.921602 1.500963
1.919680 1.500928
1.917761 1.500922
1.915843 1.501006
1.913927 1.500987
1.912013 1.500985
1.910101 1.500995
1.908191 1.501021
1.906283 1.501008
1.904376 1.501038
1.902472 1.501031
1.900570 1.501002
1.898669 1.501023
1.896770 1.501019
1.894874 1.501078
1.892979 1.501084
1.891086 1.500995
1.889195 1.501051
1.887305 1.501052
1.885418 1.501031
1.883533 1.501088
1.881649 1.501069
1.879768 1.501010
1.877888 1.501000
1.876010 1.501044
1.874134 1.501031
1.872260 1.501009
1.870388 1.501030
1.868517 1.501039
1.866649 1.500979
1.864782 1.500983
1.862917 1.500986
1.861054 1.500996
1.859193 1.500990
1.857334 1.500960
1.855477 1.500956
1.853621 1.500987
1.851768 1.501003
1.849916 1.500903
1.848066 1.500900
1.846218 1.500998
1.844372 1.500993
1.842527 1.500970
1.840685 1.500957
1.838844 1.500949
1.837005 1.500949
1.835168 1.500925
1.833333 1.500880
1.831500 1.500847
1.829668 1.500852
1.827839 1.500888
1.826011 1.500923
1.824185 1.500921
1.822360 1.500861
1.820538 1.500872
1.818718 1.500921
1.816899 1.500898
1.815082 1.500899
1.813267 1.500929
1.811454 1.500948
1.809642 1.500943
1.807833 1.500897
1.806025 1.500840
1.804219 1.500863
1.802414 1.500885
1.800612 1.500856
1.798811 1.500861
1.797013 1.500885
1.795216 1.500943
1.793420 1.500937
1.791627 1.500943
1.789835 1.500935
1.788045 1.500868
1.786257 1.500820
1.784471 1.500840
1.782687 1.500879
1.780904 1.500915
1.779123 1.500928
1.777344 1.500939
1.775567 1.500922
1.773791 1.500918
1.772017 1.500945
1.770245 1.500901
1.768475 1.500915
1.766707 1.500883
1.764940 1.500825
1.763175 1.500868
1.761412 1.500895
1.759650 1.500941
1.757891 1.500938
1.756133 1.500894
1.754377 1.500865
1.752622 1.500896
1.750870 1.500906
1.749119 1.500876
1.747370 1.500901
1.745622 1.500901
1.743877 1.500868
1.742133 1.500856
1.740391 1.500859
1.738650 1.500864
1.736912 1.500848
1.735175 1.500883
1.733440 1.500944
1.731706 1.500921
1.729974 1.500880
1.728244 1.500872
1.726516 1.500882
1.724790 1.500840
1.723065 1.500824
1.721342 1.500807
1.719620 1.500761
1.717901 1.500751
1.716183 1.500785
1.714467 1.500830
1.712752 1.500835
1.711040 1.500827
1.709329 1.500789
1.707619 1.500774
1.705912 1.500804
1.704206 1.500814
1.702501 1.500816
1.700799 1.500815
1.699098 1.500769
1.697399 1.500760
1.695702 1.500789
1.694006 1.500787
1.692312 1.500793
1.690620 1.500783
1.688929 1.500785
1.687240 1.500813
1.685553 1.500858
1.683867 1.500856
1.682183 1.500831
1.680501 1.500806
1.678821 1.500813
1.677142 1.500878
1.675465 1.500893
1.673789 1.500868
1.672116 1.500831
1.670443 1.500797
1.668773 1.500831
1.667104 1.500831
1.665437 1.500814
1.663772 1.500826
1.662108 1.500872
1.660446 1.500902
1.658785 1.500912
1.657127 1.500894
1.655469 1.500861
1.653814 1.500885
1.652160 1.500909
1.650508 1.500849
1.648857 1.500780
1.647209 1.500770
1.645561 1.500824
1.643916 1.500817
1.642272 1.500815
1.640630 1.500789
1.638989 1.500798
1.637350 1.500806
1.635713 1.500820
1.634077 1.500837
1.632443 1.500804
1.630810 1.500765
1.629180 1.500755
1.627550 1.500780
1.625923 1.500792
1.624297 1.500782
1.622673 1.500817
1.621050 1.500756
1.619429 1.500741
1.617810 1.500762
1.616192 1.500752
1.614576 1.500765
1.612961 1.500803
1.611348 1.500808
1.609737 1.500781
1.608127 1.500772
1.606519 1.500756
1.604912 1.500770
1.603307 1.500806
1.601704 1.500813
1.600102 1.500802
1.598502 1.500777
1.596904 1.500777
1.595307 1.500797
1.593712 1.500777
1.592118 1.500750
1.590526 1.500742
1.588935 1.500744
1.587346 1.500779
1.585759 1.500781
1.584173 1.500759
1.582589 1.500785
1.581006 1.500776
1.579425 1.500756
1.577846 1.500733
1.576268 1.500732
1.574692 1.500785
1.573117 1.500786
1.571544 1.500768
1.569972 1.500795
1.568402 1.500794
1.566834 1.500808
1.565267 1.500826
1.563702 1.500850
1.562138 1.500835
1.560576 1.500811
1.559016 1.500794
1.557457 1.500784
1.555899 1.500798
1.554343 1.500778
1.552789 1.500756
1.551236 1.500750
1.549685 1.500738
1.548135 1.500765
1.546587 1.500781
1.545040 1.500752
1.543495 1.500746
1.541952 1.500789
1.540410 1.500804
1.538870 1.500807
1.537331 1.500774
1.535793 1.500821
1.534258 1.500835
1.532723 1.500848
1.531191 1.500874
1.529659 1.500842
1.528130 1.500826
1.526602 1.500895
1.525075 1.500836
1.523550 1.500809
1.522026 1.500834
1.520504 1.500791
1.518984 1.500809
1.517465 1.500794
1.515947 1.500774
1.514431 1.500766
1.512917 1.500778
1.511404 1.500829
1.509893 1.500789
1.508383 1.500786
1.506874 1.500845
1.505368 1.500840
1.503862 1.500817
1.502358 1.500795
1.500856 1.500770
1.499355 1.500766
1.497856 1.500760
1.496358 1.500772
1.494862 1.500768
1.493367 1.500743
1.491873 1.500713
1.490381 1.500726
1.488891 1.500769
1.487402 1.500772
1.485915 1.500747
1.484429 1.500707
1.482944 1.500720
1.481461 1.500727
1.479980 1.500677
1.478500 1.500633
1.477021 1.500651
1.475544 1.500705
1.474069 1.500739
1.472595 1.500719
1.471122 1.500698
1.469651 1.500679
1.468181 1.500656
1.466713 1.500649
1.465247 1.500653
1.463781 1.500621
1.462318 1.500618
1.460855 1.500642
1.459394 1.500647
1.457935 1.500628
1.456477 1.500605
1.455021 1.500614
1.453566 1.500645
1.452112 1.500688
1.450660 1.500709
1.449209 1.500717
1.447760 1.500711
1.446312 1.500675
1.444866 1.500681
1.443421 1.500719
1.441978 1.500671
1.440536 1.500652
1.439095 1.500658
1.437656 1.500657
1.436218 1.500647
1.434782 1.500674
1.433347 1.500703
1.431914 1.500728
1.430482 1.500740
1.429052 1.500738
1.427623 1.500734
1.426195 1.500730
1.424769 1.500732
1.423344 1.500726
1.421921 1.500735
1.420499 1.500772
1.419078 1.500830
1.417659 1.500813
1.416242 1.500744
1.414825 1.500719
1.413410 1.500737
1.411997 1.500729
1.410585 1.500712
1.409174 1.500748
1.407765 1.500748
1.406358 1.500758
1.404951 1.500755
1.403546 1.500706
1.402143 1.500718
1.400741 1.500747
1.399340 1.500732
1.397940 1.500707
1.396542 1.500693
1.395146 1.500688
1.393751 1.500691
1.392357 1.500731
1.390965 1.500746
1.389574 1.500725
1.388184 1.500722
1.386796 1.500740
1.385409 1.500761
1.384024 1.500709
1.382640 1.500731
1.381257 1.500743
1.379876 1.500770
1.378496 1.500789
1.377117 1.500766
1.375740 1.500776
1.374365 1.500770
1.372990 1.500701
1.371617 1.500693
1.370246 1.500753
1.368875 1.500755
1.367507 1.500756
1.366139 1.500746
1.364773 1.500763
1.363408 1.500766
1.362045 1.500747
1.360683 1.500752
1.359322 1.500747
1.357963 1.500731
1.356605 1.500743
1.355248 1.500740
1.353893 1.500737
1.352539 1.500766
1.351186 1.500756
1.349835 1.500722
1.348485 1.500723
1.347137 1.500721
1.345790 1.500700
1.344444 1.500686
1.343100 1.500678
1.341756 1.500655
1.340415 1.500637
1.339074 1.500651
1.337735 1.500666
1.336397 1.500640
1.335061 1.500643
1.333726 1.500657
1.332392 1.500671
1.331060 1.500696
1.329729 1.500698
1.328399 1.500704
1.327071 1.500738
1.325744 1.500719
1.324418 1.500690
1.323093 1.500701
1.321770 1.500728
1.320449 1.500730
1.319128 1.500690
1.317809 1.500680
1.316491 1.500695
1.315175 1.500721
1.313860 1.500723
1.312546 1.500721
1.311233 1.500764
1.309922 1.500736
1.308612 1.500664
1.307303 1.500654
1.305996 1.500683
1.304690 1.500650
1.303385 1.500656
1.302082 1.500687
1.300780 1.500680
1.299479 1.500702
1.298180 1.500716
1.296881 1.500715
1.295585 1.500737
1.294289 1.500756
1.292995 1.500725
1.291702 1.500686
1.290410 1.500680
1.289120 1.500646
1.287830 1.500673
1.286543 1.500674
1.285256 1.500667
1.283971 1.500670
1.282687 1.500684
1.281404 1.500706
1.280123 1.500685
1.278843 1.500681
1.277564 1.500674
1.276286 1.500696
1.275010 1.500737
1.273735 1.500750
1.272461 1.500707
1.271189 1.500698
1.269918 1.500717
1.268648 1.500707
1.267379 1.500736
1.266112 1.500805
1.264846 1.500796
1.263581 1.500759
1.262317 1.500746
1.261055 1.500732
1.259794 1.500748
1.258534 1.500771
1.257275 1.500794
1.256018 1.500772
1.254762 1.500748
1.253507 1.500756
1.252254 1.500743
1.251002 1.500750
1.249751 1.500732
1.248501 1.500754
1.247252 1.500732
1.246005 1.500715
1.244759 1.500732
1.243514 1.500706
1.242271 1.500698
1.241029 1.500728
1.239788 1.500742
1.238548 1.500695
1.237309 1.500671
1.236072 1.500695
1.234836 1.500727
1.233601 1.500753
1.232367 1.500784
1.231135 1.500749
1.229904 1.500676
1.228674 1.500648
1.227445 1.500641
1.226218 1.500678
1.224992 1.500711
1.223767 1.500714
1.222543 1.500736
1.221320 1.500768
1.220099 1.500780
1.218879 1.500762
1.217660 1.500741
1.216442 1.500745
1.215226 1.500730
1.214011 1.500719
1.212797 1.500774
1.211584 1.500799
1.210372 1.500763
1.209162 1.500715
1.207953 1.500703
1.206745 1.500703
1.205538 1.500694
1.204333 1.500713
1.203128 1.500738
1.201925 1.500735
1.200723 1.500678
1.199522 1.500697
1.198323 1.500760
1.197125 1.500791
1.195927 1.500792
1.194732 1.500788
1.193537 1.500793
1.192343 1.500776
1.191151 1.500790
1.189960 1.500839
1.188770 1.500831
1.187581 1.500794
1.186393 1.500765
1.185207 1.500791
1.184022 1.500805
1.182838 1.500803
1.181655 1.500800
1.180473 1.500757
1.179293 1.500741
1.178114 1.500758
1.176935 1.500738
1.175759 1.500704
1.174583 1.500707
1.173408 1.500740
1.172235 1.500762
1.171063 1.500770
1.169891 1.500763
1.168722 1.500750
1.167553 1.500785
1.166385 1.500800
1.165219 1.500774
1.164054 1.500759
1.162890 1.500776
1.161727 1.500845
1.160565 1.500882
1.159404 1.500874
1.158245 1.500807
1.157087 1.500770
1.155930 1.500795
1.154774 1.500827
1.153619 1.500792
1.152465 1.500768
1.151313 1.500787
1.150162 1.500760
1.149011 1.500747
1.147862 1.500776
1.146715 1.500781
1.145568 1.500764
1.144422 1.500741
1.143278 1.500775
1.142135 1.500844
1.140992 1.500818
1.139851 1.500755
1.138712 1.500761
1.137573 1.500810
1.136435 1.500847
1.135299 1.500894
1.134164 1.500834
1.133029 1.500785
1.131896 1.500809
1.130765 1.500816
1.129634 1.500820
1.128504 1.500807
1.127376 1.500802
1.126248 1.500831
1.125122 1.500818
1.123997 1.500770
1.122873 1.500785
1.121750 1.500793
1.120628 1.500757
1.119508 1.500702
1.118388 1.500712
1.117270 1.500725
1.116152 1.500717
1.115036 1.500739
1.113921 1.500770
1.112807 1.500793
1.111695 1.500790
1.110583 1.500786
1.109472 1.500790
1.108363 1.500768
1.107254 1.500746
1.106147 1.500731
1.105041 1.500718
1.103936 1.500804
1.102832 1.500906
1.101729 1.500845
1.100627 1.500762
1.099527 1.500773
1.098427 1.500787
1.097329 1.500785
1.096232 1.500789
1.095135 1.500787
1.094040 1.500793
1.092946 1.500782
1.091853 1.500792
1.090761 1.500801
1.089671 1.500788
1.088581 1.500777
1.087492 1.500796
1.086405 1.500804
1.085318 1.500810
1.084233 1.500844
1.083149 1.500847
1.082066 1.500809
1.080984 1.500796
1.079903 1.500817
1.078823 1.500821
1.077744 1.500790
1.076666 1.500776
1.075590 1.500788
1.074514 1.500802
1.073439 1.500858
1.072366 1.500885
1.071294 1.500881
1.070222 1.500809
1.069152 1.500712
1.068083 1.500729
1.067015 1.500807
1.065948 1.500817
1.064882 1.500846
1.063817 1.500863
1.062753 1.500837
1.061690 1.500815
1.060629 1.500797
1.059568 1.500765
1.058509 1.500785
1.057450 1.500812
1.056393 1.500832
1.055336 1.500898
1.054281 1.500909
1.053227 1.500889
1.052173 1.500916
1.051121 1.500882
1.050070 1.500838
1.049020 1.500845
1.047971 1.500888
1.046923 1.500866
1.045876 1.500921
1.044830 1.500980
1.043785 1.500969
1.042742 1.500916
1.041699 1.500890
1.040657 1.500930
1.039617 1.500941
1.038577 1.500910
1.037538 1.500894
1.036501 1.500861
1.035464 1.500834
1.034429 1.500878
1.033394 1.500949
1.032361 1.500970
1.031329 1.500918
1.030297 1.500910
1.029267 1.500927
1.028238 1.500964
1.027210 1.500921
1.026182 1.500886
1.025156 1.500886
1.024131 1.500896
1.023107 1.500927
1.022084 1.500915
1.021062 1.500905
1.020041 1.500927
1.019021 1.500921
1.018002 1.500911
