Ecin Epot Etot Temp Pre
2.789798 -4.141780 -1.351982 2.221609 71.333758
2.769891 -4.127420 -1.357530 2.219387 72.058451
2.820654 -4.183735 -1.363081 2.217168 70.240417
2.811278 -4.180065 -1.368787 2.214951 71.118597
2.792718 -4.167059 -1.374341 2.212736 72.123529
2.853953 -4.233962 -1.380009 2.210523 69.983199
2.838039 -4.223765 -1.385726 2.208313 71.022171
2.779108 -4.170460 -1.391352 2.206104 71.727695
2.712541 -4.109362 -1.396821 2.203898 73.987274
2.754091 -4.156368 -1.402276 2.201694 71.933056
2.779292 -4.187110 -1.407819 2.199493 71.174677
2.822876 -4.236287 -1.413412 2.197293 69.382187
2.795517 -4.214585 -1.419068 2.195096 70.348994
2.743273 -4.167860 -1.424586 2.192901 72.433144
2.787866 -4.217941 -1.430074 2.190708 71.627697
2.787741 -4.223484 -1.435743 2.188517 72.572143
2.809763 -4.251023 -1.441260 2.186329 72.099006
2.794639 -4.241605 -1.446966 2.184142 72.230222
2.736271 -4.188661 -1.452390 2.181958 73.650506
2.751750 -4.209698 -1.457948 2.179776 72.115805
2.725494 -4.188883 -1.463389 2.177596 73.472900
2.784499 -4.253427 -1.468928 2.175419 71.155557
2.834084 -4.308611 -1.474527 2.173243 69.362357
2.852895 -4.333122 -1.480227 2.171070 69.312940
2.839819 -4.325755 -1.485936 2.168899 69.752244
2.773817 -4.265408 -1.491591 2.166730 70.724221
2.725917 -4.222972 -1.497055 2.164563 71.069099
2.731751 -4.234280 -1.502528 2.162399 70.089537
2.753198 -4.261190 -1.507993 2.160236 69.504401
2.775452 -4.289005 -1.513553 2.158076 68.299991
2.732791 -4.251881 -1.519090 2.155918 68.799412
2.696948 -4.221446 -1.524497 2.153762 69.720775
2.708141 -4.238026 -1.529885 2.151608 70.802661
2.788490 -4.323860 -1.535371 2.149457 67.225820
2.762837 -4.303779 -1.540942 2.147307 69.572492
2.785029 -4.331541 -1.546512 2.145160 67.551934
2.707339 -4.259358 -1.552018 2.143015 69.783942
2.677199 -4.234553 -1.557354 2.140872 70.552474
2.699169 -4.261921 -1.562752 2.138731 68.444405
2.685367 -4.253506 -1.568138 2.136592 69.127451
2.734363 -4.307888 -1.573525 2.134456 67.257465
2.762140 -4.341203 -1.579063 2.132321 67.040315
2.711878 -4.296449 -1.584572 2.130189 68.165196
2.637954 -4.227855 -1.589901 2.128059 70.791434
2.671320 -4.266503 -1.595183 2.125931 68.589646
2.673435 -4.274029 -1.600594 2.123805 67.506081
2.622482 -4.228310 -1.605828 2.121681 70.397855
2.719079 -4.330272 -1.611193 2.119559 66.152124
2.685106 -4.301699 -1.616593 2.117440 69.973234
2.781860 -4.403925 -1.622065 2.115322 65.278566
2.731856 -4.359480 -1.627624 2.113207 67.330423
2.679883 -4.312917 -1.633034 2.111094 67.493264
2.632392 -4.270724 -1.638332 2.108983 69.692984
2.664583 -4.308205 -1.643622 2.106874 67.918624
2.632318 -4.281268 -1.648950 2.104767 69.992202
2.675739 -4.329964 -1.654225 2.102662 67.682296
2.694451 -4.354110 -1.659659 2.100559 66.049372
2.631527 -4.296498 -1.664971 2.098459 68.296182
2.585563 -4.255754 -1.670191 2.096360 70.851333
2.657770 -4.333179 -1.675409 2.094264 67.808448
2.629221 -4.309944 -1.680722 2.092170 70.153698
2.685057 -4.371053 -1.685996 2.090078 68.646976
2.692629 -4.384063 -1.691434 2.087987 67.909366
2.657222 -4.353961 -1.696739 2.085899 68.370621
2.642019 -4.344084 -1.702065 2.083814 66.655452
2.583306 -4.290578 -1.707272 2.081730 69.675434
2.645991 -4.358459 -1.712468 2.079648 67.069982
2.656754 -4.374600 -1.717846 2.077568 66.074254
2.547104 -4.270149 -1.723045 2.075491 70.631023
2.559188 -4.287325 -1.728137 2.073415 69.451192
2.598086 -4.331354 -1.733268 2.071342 68.377297
2.629557 -4.368051 -1.738494 2.069271 67.117547
2.657434 -4.401224 -1.743790 2.067201 65.468717
2.630791 -4.379883 -1.749093 2.065134 66.062983
2.626617 -4.380944 -1.754328 2.063069 65.336196
2.577501 -4.337097 -1.759595 2.061006 66.048829
2.514208 -4.278844 -1.764636 2.058945 68.618176
2.598761 -4.368460 -1.769698 2.056886 66.207860
2.686007 -4.461048 -1.775040 2.054829 64.215982
