Ecin Epot Etot Temp Pre
3.226395 -3.006003 0.220392 2.497500 33.795384
3.187705 -2.973692 0.214013 2.495003 35.315564
3.223598 -3.016001 0.207597 2.492507 33.077071
3.195001 -2.993868 0.201133 2.490015 33.441302
3.141756 -2.946929 0.194826 2.487525 35.108857
3.108031 -2.919463 0.188568 2.485037 36.970394
3.152660 -2.970356 0.182304 2.482552 34.793727
3.155471 -2.979474 0.175997 2.480070 34.456897
3.174734 -3.005070 0.169664 2.477590 33.111853
3.186797 -3.023498 0.163300 2.475112 33.293737
3.195819 -3.038885 0.156933 2.472637 32.884238
3.194302 -3.043810 0.150493 2.470164 32.520203
3.165893 -3.021714 0.144179 2.467694 33.241231
3.194463 -3.056679 0.137784 2.465227 31.265857
3.118125 -2.986668 0.131457 2.462761 34.641595
3.084243 -2.958965 0.125278 2.460299 35.221414
3.066759 -2.947659 0.119100 2.457838 35.379112
3.053788 -2.940792 0.112996 2.455380 35.289153
3.037135 -2.930216 0.106919 2.452925 36.034269
3.082105 -2.981314 0.100791 2.450472 33.459715
3.060360 -2.965731 0.094629 2.448022 33.719349
3.059457 -2.970933 0.088524 2.445574 33.835449
3.062531 -2.980124 0.082407 2.443128 34.144797
3.095897 -3.019667 0.076230 2.440685 31.661200
3.063915 -2.993859 0.070056 2.438244 32.892141
3.037705 -2.973751 0.063953 2.435806 34.165035
3.058687 -3.000807 0.057881 2.433370 33.839793
3.100190 -3.048471 0.051718 2.430937 32.455131
3.112830 -3.067355 0.045476 2.428506 32.315336
3.067733 -3.028473 0.039260 2.426077 33.363577
3.015015 -2.981799 0.033217 2.423651 34.683487
3.032633 -3.005462 0.027171 2.421228 33.302248
3.016087 -2.994986 0.021101 2.418806 33.547970
2.997481 -2.982394 0.015087 2.416388 33.930611
3.009124 -3.000037 0.009087 2.413971 33.464754
3.028911 -3.025839 0.003072 2.411557 33.015528
2.999737 -3.002765 -0.003028 2.409146 33.928388
2.968297 -2.977238 -0.008942 2.406737 34.771545
3.032897 -3.047818 -0.014921 2.404330 31.726962
3.047486 -3.068538 -0.021053 2.401926 31.266887
3.027193 -3.054311 -0.027117 2.399524 31.825706
3.000691 -3.033834 -0.033143 2.397124 32.028747
2.961517 -3.000641 -0.039124 2.394727 32.808226
2.936524 -2.981526 -0.045002 2.392332 33.506631
2.947197 -2.998092 -0.050895 2.389940 32.906858
2.956612 -3.013415 -0.056803 2.387550 32.308321
2.925176 -2.987851 -0.062675 2.385162 33.634602
2.926557 -2.995084 -0.068527 2.382777 33.014237
2.951309 -3.025734 -0.074425 2.380394 31.622530
2.917121 -2.997421 -0.080300 2.378014 33.388751
2.939556 -3.025683 -0.086127 2.375636 32.302647
2.956629 -3.048680 -0.092052 2.373260 31.694182
2.945974 -3.043920 -0.097946 2.370887 31.862165
2.943619 -3.047482 -0.103864 2.368516 30.972987
2.862612 -2.972292 -0.109680 2.366148 34.033275
2.881356 -2.996746 -0.115390 2.363782 33.245373
2.925198 -3.046390 -0.121192 2.361418 32.063910
2.962740 -3.089869 -0.127129 2.359056 30.155515
2.905662 -3.038647 -0.132985 2.356697 32.636066
2.923371 -3.062177 -0.138806 2.354341 31.323725
2.935801 -3.080478 -0.144677 2.351986 31.154542
2.971576 -3.122136 -0.150559 2.349634 29.787272
2.951739 -3.108266 -0.156527 2.347285 30.342619
