Ecin Epot Etot Temp Pre
3.651070 -2.315438 1.335632 2.497500 25.308625
3.655090 -2.326800 1.328290 2.495003 25.471942
3.625837 -2.304833 1.321003 2.492507 25.647150
3.592012 -2.278188 1.313825 2.490015 26.365233
3.634731 -2.328154 1.306577 2.487525 24.514194
3.610637 -2.311323 1.299314 2.485037 24.948788
3.595726 -2.303603 1.292123 2.482552 24.682997
3.563033 -2.278093 1.284940 2.480070 25.687402
3.574170 -2.296328 1.277842 2.477590 24.875796
3.601042 -2.330423 1.270619 2.475112 23.687840
3.539149 -2.275671 1.263478 2.472637 25.904295
3.579421 -2.322991 1.256430 2.470164 24.617283
3.628067 -2.378893 1.249173 2.467694 22.813510
3.546576 -2.304574 1.242002 2.465227 25.830204
3.578112 -2.343193 1.234919 2.462761 24.640073
3.598782 -2.371107 1.227675 2.460299 23.316820
3.543151 -2.322597 1.220554 2.457838 25.424961
3.585583 -2.372155 1.213428 2.455380 23.425576
3.536563 -2.330298 1.206265 2.452925 25.055835
3.495850 -2.296609 1.199241 2.450472 26.077645
3.485630 -2.293358 1.192271 2.448022 26.200951
3.521063 -2.335824 1.185239 2.445574 24.608359
3.523805 -2.345595 1.178210 2.443128 24.017296
3.518977 -2.347837 1.171140 2.440685 23.203151
3.440174 -2.276005 1.164169 2.438244 26.416903
3.480760 -2.323468 1.157293 2.435806 24.898598
3.519058 -2.368798 1.150260 2.433370 23.399100
3.488005 -2.344775 1.143230 2.430937 24.055297
3.433299 -2.296995 1.136304 2.428506 25.209898
3.440312 -2.310834 1.129478 2.426077 25.352588
3.483971 -2.361438 1.122533 2.423651 23.756362
3.492888 -2.377341 1.115546 2.421228 23.574502
3.460538 -2.351952 1.108586 2.418806 24.716597
3.421725 -2.320021 1.101704 2.416388 26.290505
3.434585 -2.339721 1.094864 2.413971 25.605927
3.431454 -2.343473 1.087981 2.411557 25.744267
3.480821 -2.399751 1.081069 2.409146 23.180747
3.438390 -2.364265 1.074124 2.406737 24.916030
3.431107 -2.363827 1.067280 2.404330 24.595221
3.440305 -2.379912 1.060393 2.401926 23.957394
3.428095 -2.374568 1.053527 2.399524 24.311380
3.423179 -2.376510 1.046669 2.397124 24.238117
3.423318 -2.383505 1.039813 2.394727 23.835371
3.430649 -2.397691 1.032958 2.392332 22.973339
3.373914 -2.347794 1.026120 2.389940 24.607112
3.379834 -2.360412 1.019423 2.387550 23.881819
3.421470 -2.408887 1.012583 2.385162 22.195410
3.379703 -2.373939 1.005763 2.382777 23.728165
3.359130 -2.360079 0.999051 2.380394 24.535860
3.404524 -2.412235 0.992289 2.378014 22.892410
3.390138 -2.404688 0.985449 2.375636 22.734767
3.319052 -2.340304 0.978748 2.373260 24.785910
3.310973 -2.338847 0.972126 2.370887 24.165727
3.325766 -2.360279 0.965487 2.368516 23.335776
3.301422 -2.342582 0.958841 2.366148 24.452961
3.321463 -2.369215 0.952249 2.363782 22.953712
3.295312 -2.349737 0.945575 2.361418 23.829994
3.293725 -2.354684 0.939041 2.359056 23.914518
3.315012 -2.382616 0.932395 2.356697 22.896252
3.280020 -2.354239 0.925781 2.354341 23.679273
3.270645 -2.351385 0.919261 2.351986 23.364621
3.282347 -2.369661 0.912686 2.349634 22.318538
3.248303 -2.342146 0.906157 2.347285 23.641651
3.255788 -2.356134 0.899654 2.344937 23.519591
3.273355 -2.380238 0.893117 2.342592 23.048599
3.263692 -2.377104 0.886589 2.340250 23.839550
3.276454 -2.396433 0.880022 2.337910 23.032773
3.250876 -2.377381 0.873495 2.335572 23.915456
3.298573 -2.431616 0.866957 2.333236 22.132997
3.285716 -2.425367 0.860349 2.330903 22.466556
3.239337 -2.385540 0.853797 2.328572 22.724540
3.176681 -2.329275 0.847406 2.326243 24.607622
3.214519 -2.373508 0.841012 2.323917 22.918656
3.203102 -2.368515 0.834587 2.321593 23.205175
3.206874 -2.378710 0.828164 2.319272 22.391748
3.152317 -2.330528 0.821789 2.316952 24.446948
3.164083 -2.348559 0.815524 2.314635 24.266849
3.224709 -2.415628 0.809081 2.312321 21.885218
3.172996 -2.370306 0.802690 2.310009 23.811960
3.165329 -2.368965 0.796364 2.307698 23.663805
3.159248 -2.369220 0.790028 2.305391 23.408454
3.167890 -2.384198 0.783692 2.303085 22.647114
3.128145 -2.350772 0.777373 2.300782 23.620620
3.109824 -2.338645 0.771179 2.298482 24.128839
3.134760 -2.369844 0.764916 2.296183 22.977730
3.124931 -2.366284 0.758647 2.293887 23.336729
3.124474 -2.372067 0.752407 2.291593 23.948568
3.148367 -2.402240 0.746127 2.289301 22.889825
3.103845 -2.363993 0.739852 2.287012 24.294226
3.112707 -2.379035 0.733672 2.284725 23.336261
3.158876 -2.431491 0.727385 2.282440 21.816265
3.146550 -2.425492 0.721058 2.280158 22.224780
3.127967 -2.413177 0.714790 2.277878 22.821692
3.125853 -2.417328 0.708525 2.275600 22.784799
3.100521 -2.398228 0.702293 2.273324 23.441977
3.079969 -2.383852 0.696117 2.271051 24.019296
3.107156 -2.417229 0.689927 2.268780 22.660809
3.107912 -2.424199 0.683712 2.266511 22.799223
3.109498 -2.432022 0.677476 2.264245 22.680218
3.084778 -2.413496 0.671282 2.261980 23.144689
3.023720 -2.358588 0.665132 2.259718 24.429763
2.942815 -2.283624 0.659191 2.257459 26.222032
2.979243 -2.325961 0.653282 2.255201 24.707671
3.027227 -2.379957 0.647269 2.252946 23.138736
3.039492 -2.398291 0.641201 2.250693 23.013289
3.034900 -2.399797 0.635102 2.248442 22.741592
2.992610 -2.363518 0.629093 2.246194 24.069809
2.994054 -2.370979 0.623076 2.243948 23.581752
2.993105 -2.375972 0.617132 2.241704 23.300795
3.033696 -2.422597 0.611099 2.239462 21.529570
3.051195 -2.446198 0.604997 2.237223 21.373260
3.041151 -2.442267 0.598883 2.234985 21.457999
3.004149 -2.411309 0.592840 2.232750 22.353738
2.998308 -2.411466 0.586842 2.230518 22.157929
2.993083 -2.412227 0.580856 2.228287 22.062489
3.002294 -2.427445 0.574850 2.226059 21.273895
2.977140 -2.408270 0.568870 2.223833 21.977248
2.970821 -2.407903 0.562918 2.221609 21.728133
2.968968 -2.411995 0.556973 2.219387 21.879903
2.977857 -2.426821 0.551036 2.217168 21.659726
2.983176 -2.438118 0.545058 2.214951 21.393185
2.945093 -2.405969 0.539124 2.212736 22.776267
2.917070 -2.383792 0.533278 2.210523 23.637684
2.950454 -2.423042 0.527412 2.208313 21.966313
2.946517 -2.425017 0.521500 2.206104 21.917080
2.950422 -2.434819 0.515603 2.203898 21.341562
2.959635 -2.449927 0.509708 2.201694 20.929081
2.963316 -2.459559 0.503756 2.199493 20.629985
2.916340 -2.418455 0.497885 2.197293 22.129956
2.929822 -2.437777 0.492045 2.195096 21.142343
2.903168 -2.416969 0.486199 2.192901 22.172075
2.914097 -2.433706 0.480391 2.190708 21.176285
2.898494 -2.423923 0.474571 2.188517 21.798019
2.929548 -2.460792 0.468756 2.186329 20.553774
2.930989 -2.468122 0.462867 2.184142 20.253179
2.895813 -2.438780 0.457034 2.181958 21.041780
2.867439 -2.416157 0.451282 2.179776 21.733963
2.881897 -2.436355 0.445542 2.177596 21.036016
2.909223 -2.469489 0.439734 2.175419 19.916458
2.890576 -2.456656 0.433921 2.173243 20.414154
2.857296 -2.429125 0.428170 2.171070 21.376797
2.848188 -2.425716 0.422472 2.168899 21.420773
2.845854 -2.429082 0.416772 2.166730 21.251228
2.854365 -2.443280 0.411085 2.164563 20.731444
2.865540 -2.460187 0.405352 2.162399 20.232257
2.841670 -2.442040 0.399630 2.160236 21.035582
2.804635 -2.410661 0.393974 2.158076 21.900571
2.790558 -2.402159 0.388398 2.155918 21.969990
2.794004 -2.411210 0.382794 2.153762 21.317050
2.748455 -2.371207 0.377248 2.151608 22.841120
2.785634 -2.413891 0.371744 2.149457 21.103237
2.809602 -2.443471 0.366131 2.147307 20.935985
2.830839 -2.470347 0.360492 2.145160 20.103452
2.825951 -2.471131 0.354821 2.143015 20.278054
