T Cv
1.815082 1.501728
1.813267 1.501624
1.811454 1.501560
1.809642 1.501584
1.807833 1.501392
1.806025 1.501454
1.804219 1.501330
1.802414 1.501365
1.800612 1.501484
1.798811 1.501475
1.797013 1.501512
1.795216 1.501459
1.793420 1.501592
1.791627 1.501504
1.789835 1.501386
1.788045 1.501483
1.786257 1.501600
1.784471 1.501587
1.782687 1.501548
1.780904 1.501474
1.779123 1.501428
1.777344 1.501412
1.775567 1.501419
1.773791 1.501300
1.772017 1.501377
1.770245 1.501512
1.768475 1.501459
1.766707 1.501522
1.764940 1.501426
1.763175 1.501432
1.761412 1.501544
1.759650 1.501433
1.757891 1.501420
1.756133 1.501379
1.754377 1.501290
1.752622 1.501455
1.750870 1.501409
1.749119 1.501406
1.747370 1.501517
1.745622 1.501595
1.743877 1.501579
1.742133 1.501590
1.740391 1.501474
1.738650 1.501399
1.736912 1.501420
1.735175 1.501415
1.733440 1.501443
1.731706 1.501440
1.729974 1.501455
1.728244 1.501308
1.726516 1.501342
1.724790 1.501337
1.723065 1.501466
1.721342 1.501518
1.719620 1.501544
1.717901 1.501475
1.716183 1.501333
1.714467 1.501352
1.712752 1.501237
1.711040 1.501309
1.709329 1.501512
1.707619 1.501468
1.705912 1.501365
1.704206 1.501374
1.702501 1.501427
1.700799 1.501507
1.699098 1.501382
1.697399 1.501382
1.695702 1.501332
1.694006 1.501377
1.692312 1.501398
1.690620 1.501343
1.688929 1.501435
1.687240 1.501371
1.685553 1.501382
1.683867 1.501529
1.682183 1.501452
1.680501 1.501416
1.678821 1.501523
1.677142 1.501397
1.675465 1.501261
1.673789 1.501362
1.672116 1.501551
1.670443 1.501504
1.668773 1.501392
1.667104 1.501438
1.665437 1.501340
1.663772 1.501377
1.662108 1.501459
1.660446 1.501418
1.658785 1.501409
1.657127 1.501436
1.655469 1.501486
1.653814 1.501463
1.652160 1.501413
1.650508 1.501483
1.648857 1.501391
1.647209 1.501326
1.645561 1.501335
1.643916 1.501342
1.642272 1.501247
1.640630 1.501365
1.638989 1.501266
1.637350 1.501413
1.635713 1.501478
1.634077 1.501410
1.632443 1.501606
1.630810 1.501674
1.629180 1.501531
1.627550 1.501521
1.625923 1.501495
1.624297 1.501483
1.622673 1.501367
1.621050 1.501442
1.619429 1.501365
1.617810 1.501348
1.616192 1.501317
1.614576 1.501392
1.612961 1.501427
1.611348 1.501481
1.609737 1.501515
1.608127 1.501446
1.606519 1.501483
1.604912 1.501482
1.603307 1.501434
1.601704 1.501305
1.600102 1.501201
1.598502 1.501315
1.596904 1.501436
1.595307 1.501388
1.593712 1.501452
1.592118 1.501481
1.590526 1.501436
1.588935 1.501408
1.587346 1.501467
1.585759 1.501383
1.584173 1.501400
1.582589 1.501362
1.581006 1.501436
1.579425 1.501378
1.577846 1.501386
1.576268 1.501463
1.574692 1.501482
1.573117 1.501419
1.571544 1.501379
1.569972 1.501390
1.568402 1.501353
1.566834 1.501502
1.565267 1.501461
1.563702 1.501429
1.562138 1.501381
1.560576 1.501505
1.559016 1.501527
1.557457 1.501531
1.555899 1.501451
1.554343 1.501372
1.552789 1.501373
1.551236 1.501412
1.549685 1.501438
1.548135 1.501434
1.546587 1.501373
1.545040 1.501502
1.543495 1.501525
1.541952 1.501478
1.540410 1.501419
1.538870 1.501409
1.537331 1.501306
1.535793 1.501401
1.534258 1.501504
1.532723 1.501488
1.531191 1.501386
1.529659 1.501401
1.528130 1.501346
1.526602 1.501410
1.525075 1.501422
1.523550 1.501422
1.522026 1.501467
1.520504 1.501537
1.518984 1.501461
1.517465 1.501425
1.515947 1.501346
1.514431 1.501446
1.512917 1.501298
1.511404 1.501365
1.509893 1.501256
1.508383 1.501427
1.506874 1.501467
1.505368 1.501486
1.503862 1.501369
1.502358 1.501519
1.500856 1.501315
1.499355 1.501356
1.497856 1.501336
1.496358 1.501459
1.494862 1.501398
1.493367 1.501303
1.491873 1.501318
1.490381 1.501373
1.488891 1.501356
1.487402 1.501398
1.485915 1.501364
1.484429 1.501459
1.482944 1.501468
1.481461 1.501437
1.479980 1.501399
1.478500 1.501500
1.477021 1.501505
1.475544 1.501350
1.474069 1.501366
1.472595 1.501359
1.471122 1.501497
1.469651 1.501313
1.468181 1.501241
1.466713 1.501248
1.465247 1.501266
1.463781 1.501256
1.462318 1.501326
1.460855 1.501400
1.459394 1.501520
1.457935 1.501597
1.456477 1.501637
1.455021 1.501530
1.453566 1.501562
1.452112 1.501502
1.450660 1.501429
1.449209 1.501400
1.447760 1.501390
1.446312 1.501392
1.444866 1.501377
1.443421 1.501352
1.441978 1.501436
1.440536 1.501346
1.439095 1.501447
1.437656 1.501517
1.436218 1.501463
1.434782 1.501524
1.433347 1.501489
1.431914 1.501298
1.430482 1.501390
1.429052 1.501519
1.427623 1.501421
1.426195 1.501456
1.424769 1.501616
1.423344 1.501490
1.421921 1.501393
1.420499 1.501394
1.419078 1.501417
1.417659 1.501532
1.416242 1.501537
1.414825 1.501515
1.413410 1.501468
1.411997 1.501366
1.410585 1.501410
1.409174 1.501405
1.407765 1.501303
1.406358 1.501269
1.404951 1.501336
1.403546 1.501564
1.402143 1.501443
1.400741 1.501364
1.399340 1.501388
1.397940 1.501520
1.396542 1.501303
1.395146 1.501294
1.393751 1.501287
1.392357 1.501289
1.390965 1.501307
1.389574 1.501313
1.388184 1.501389
1.386796 1.501448
1.385409 1.501380
1.384024 1.501262
1.382640 1.501341
1.381257 1.501264
1.379876 1.501228
1.378496 1.501369
1.377117 1.501415
1.375740 1.501464
1.374365 1.501489
1.372990 1.501412
1.371617 1.501362
1.370246 1.501302
1.368875 1.501340
1.367507 1.501386
1.366139 1.501249
1.364773 1.501306
1.363408 1.501479
1.362045 1.501465
1.360683 1.501317
1.359322 1.501434
1.357963 1.501348
1.356605 1.501360
1.355248 1.501169
1.353893 1.501286
1.352539 1.501368
1.351186 1.501394
1.349835 1.501458
1.348485 1.501464
1.347137 1.501393
1.345790 1.501348
1.344444 1.501383
1.343100 1.501363
1.341756 1.501226
1.340415 1.501235
1.339074 1.501332
1.337735 1.501458
1.336397 1.501440
1.335061 1.501306
1.333726 1.501344
1.332392 1.501304
1.331060 1.501296
1.329729 1.501375
1.328399 1.501540
1.327071 1.501562
1.325744 1.501522
1.324418 1.501546
1.323093 1.501353
1.321770 1.501423
1.320449 1.501604
1.319128 1.501571
1.317809 1.501444
1.316491 1.501418
1.315175 1.501356
1.313860 1.501475
1.312546 1.501451
1.311233 1.501530
1.309922 1.501465
1.308612 1.501324
1.307303 1.501451
1.305996 1.501498
1.304690 1.501488
1.303385 1.501316
1.302082 1.501290
1.300780 1.501241
1.299479 1.501237
1.298180 1.501413
1.296881 1.501517
1.295585 1.501391
1.294289 1.501401
1.292995 1.501349
1.291702 1.501327
1.290410 1.501401
1.289120 1.501332
1.287830 1.501407
1.286543 1.501420
1.285256 1.501366
1.283971 1.501234
1.282687 1.501182
1.281404 1.501259
1.280123 1.501347
1.278843 1.501395
1.277564 1.501375
1.276286 1.501508
1.275010 1.501390
1.273735 1.501258
1.272461 1.501358
1.271189 1.501311
1.269918 1.501165
1.268648 1.501254
1.267379 1.501260
1.266112 1.501290
1.264846 1.501303
1.263581 1.501365
1.262317 1.501381
1.261055 1.501501
1.259794 1.501430
1.258534 1.501391
1.257275 1.501268
1.256018 1.501437
1.254762 1.501393
1.253507 1.501380
1.252254 1.501461
1.251002 1.501333
1.249751 1.501324
1.248501 1.501436
1.247252 1.501525
1.246005 1.501547
1.244759 1.501502
1.243514 1.501404
1.242271 1.501362
1.241029 1.501364
1.239788 1.501296
1.238548 1.501264
1.237309 1.501291
1.236072 1.501391
1.234836 1.501484
1.233601 1.501437
1.232367 1.501396
1.231135 1.501448
1.229904 1.501509
1.228674 1.501459
1.227445 1.501432
1.226218 1.501441
1.224992 1.501345
1.223767 1.501342
1.222543 1.501431
1.221320 1.501450
1.220099 1.501559
1.218879 1.501400
1.217660 1.501291
1.216442 1.501342
1.215226 1.501371
1.214011 1.501423
