Ecin Epot Etot Temp Pre
2.525418 -4.009459 -1.484040 2.221609 44.629877
2.516152 -4.005221 -1.489069 2.219387 44.520625
2.497966 -3.992095 -1.494129 2.217168 45.173897
2.508288 -4.007372 -1.499085 2.214951 45.050259
2.543873 -4.048061 -1.504188 2.212736 42.603439
2.462368 -3.971569 -1.509200 2.210523 45.792888
2.441599 -3.955669 -1.514070 2.208313 46.069486
2.470195 -3.989182 -1.518987 2.206104 44.678721
2.462196 -3.986150 -1.523953 2.203898 44.249131
2.447387 -3.976251 -1.528864 2.201694 44.727118
2.409638 -3.943342 -1.533704 2.199493 47.031376
2.461409 -3.999966 -1.538557 2.197293 44.405478
2.508183 -4.051734 -1.543550 2.195096 42.537155
2.472591 -4.021134 -1.548543 2.192901 43.621551
2.463082 -4.016559 -1.553476 2.190708 43.441071
2.439492 -3.997890 -1.558398 2.188517 44.161961
2.427814 -3.991038 -1.563224 2.186329 45.101235
2.493244 -4.061426 -1.568182 2.184142 42.295801
2.475771 -4.048923 -1.573152 2.181958 43.556013
2.462294 -4.040396 -1.578103 2.179776 43.605110
2.444717 -4.027731 -1.583014 2.177596 43.645422
2.425468 -4.013342 -1.587875 2.175419 44.077656
2.425642 -4.018378 -1.592736 2.173243 43.588964
2.412472 -4.010041 -1.597569 2.171070 44.279695
2.438442 -4.040864 -1.602421 2.168899 42.669182
2.422433 -4.029750 -1.607316 2.166730 42.397090
2.361931 -3.974009 -1.612079 2.164563 44.855211
2.360095 -3.976895 -1.616800 2.162399 44.656024
2.370987 -3.992520 -1.621534 2.160236 43.736070
2.351425 -3.977689 -1.626264 2.158076 44.675148
2.342857 -3.973832 -1.630975 2.155918 44.590396
2.373164 -4.008805 -1.635641 2.153762 44.364547
2.426596 -4.067072 -1.640476 2.151608 42.326383
2.404782 -4.050094 -1.645312 2.149457 44.026536
2.415689 -4.065814 -1.650125 2.147307 43.232047
2.360446 -4.015382 -1.654936 2.145160 45.337406
2.338684 -3.998302 -1.659618 2.143015 44.854919
2.356996 -4.021279 -1.664283 2.140872 44.786208
2.395010 -4.064069 -1.669059 2.138731 43.698952
2.407457 -4.081325 -1.673867 2.136592 42.763484
2.398600 -4.077282 -1.678682 2.134456 42.176360
2.354963 -4.038409 -1.683446 2.132321 42.708708
2.318341 -4.006449 -1.688109 2.130189 43.541333
2.329686 -4.022440 -1.692753 2.128059 42.631462
2.336964 -4.034379 -1.697416 2.125931 42.701856
2.339521 -4.041617 -1.702096 2.123805 43.219713
2.357327 -4.064126 -1.706799 2.121681 42.838942
2.380406 -4.091943 -1.711537 2.119559 41.512177
2.348135 -4.064413 -1.716278 2.117440 42.921732
2.362577 -4.083548 -1.720972 2.115322 42.384732
2.376207 -4.101948 -1.725740 2.113207 41.430745
2.289353 -4.019776 -1.730424 2.111094 44.776253
2.309536 -4.044493 -1.734957 2.108983 43.210662
2.339749 -4.079415 -1.739666 2.106874 41.906374
2.295922 -4.040205 -1.744282 2.104767 43.942372
2.342361 -4.091268 -1.748907 2.102662 41.256697
2.315602 -4.069202 -1.753599 2.100559 42.915614
2.299994 -4.058189 -1.758195 2.098459 43.469090
2.326122 -4.088952 -1.762830 2.096360 41.912684
2.315461 -4.082930 -1.767468 2.094264 42.576169
2.308981 -4.081091 -1.772110 2.092170 42.014903
2.276267 -4.052957 -1.776690 2.090078 43.463176
2.284897 -4.066133 -1.781236 2.087987 42.786578
2.328608 -4.114454 -1.785846 2.085899 41.499796
2.347728 -4.138267 -1.790539 2.083814 40.996680
2.347895 -4.143132 -1.795237 2.081730 40.380053
2.310135 -4.110060 -1.799925 2.079648 41.605663
2.256731 -4.061203 -1.804473 2.077568 42.875110
2.249388 -4.058362 -1.808973 2.075491 42.349530
2.257709 -4.071181 -1.813472 2.073415 42.465682
2.266409 -4.084421 -1.818013 2.071342 42.102836
2.295722 -4.118271 -1.822550 2.069271 41.061277
2.309526 -4.136726 -1.827200 2.067201 40.142469
2.256246 -4.088020 -1.831774 2.065134 42.163294
2.225460 -4.061700 -1.836240 2.063069 43.047767
2.250492 -4.091189 -1.840697 2.061006 42.233511
2.271190 -4.116420 -1.845229 2.058945 41.381975
2.264652 -4.114439 -1.849787 2.056886 40.917504
2.213913 -4.068173 -1.854260 2.054829 42.348843
2.217452 -4.076129 -1.858677 2.052774 42.162450
2.228460 -4.091602 -1.863143 2.050721 41.897997
2.218007 -4.085597 -1.867590 2.048671 42.223443
2.226372 -4.098411 -1.872039 2.046622 40.705341
2.170761 -4.047213 -1.876453 2.044575 42.438012
2.175940 -4.056716 -1.880776 2.042531 41.415610
2.189104 -4.074254 -1.885150 2.040488 41.552470
2.203862 -4.093400 -1.889538 2.038448 41.681260
2.255702 -4.149691 -1.893989 2.036409 39.949890
2.269718 -4.168260 -1.898542 2.034373 39.141721
2.236765 -4.139821 -1.903056 2.032339 40.123730
2.210335 -4.117840 -1.907504 2.030306 40.490281
2.176542 -4.088439 -1.911897 2.028276 41.757174
2.178530 -4.094755 -1.916224 2.026248 41.352596
2.228208 -4.148849 -1.920641 2.024221 38.938128
2.188990 -4.114077 -1.925087 2.022197 40.621885
2.148789 -4.078203 -1.929414 2.020175 42.178750
2.172281 -4.105996 -1.933715 2.018155 41.093141
2.226962 -4.165089 -1.938127 2.016137 37.902938
2.175294 -4.117860 -1.942567 2.014121 39.653063
2.142999 -4.089864 -1.946865 2.012106 40.435720
2.148946 -4.100090 -1.951144 2.010094 40.111134
2.155631 -4.111087 -1.955456 2.008084 39.640498
2.161743 -4.121505 -1.959763 2.006076 39.585388
2.174892 -4.139017 -1.964125 2.004070 38.458038
2.147365 -4.115793 -1.968429 2.002066 39.638558
2.162027 -4.134773 -1.972747 2.000064 38.576568
2.150822 -4.127889 -1.977067 1.998064 39.549231
2.161450 -4.142819 -1.981369 1.996066 39.185595
2.144877 -4.130574 -1.985697 1.994070 39.628340
2.118011 -4.107959 -1.989948 1.992076 41.412431
2.161793 -4.156008 -1.994215 1.990084 39.534801
