Ecin Epot Etot Temp Pre
3.368877 -3.705495 -0.336618 2.214951 102.596774
3.358337 -3.701748 -0.343411 2.212736 99.973963
3.317969 -3.667967 -0.349998 2.210523 102.200211
3.349511 -3.706214 -0.356703 2.208313 102.652734
3.314419 -3.677819 -0.363400 2.206104 102.988512
3.331099 -3.701054 -0.369955 2.203898 101.965262
3.372837 -3.749574 -0.376737 2.201694 100.459228
3.326597 -3.710044 -0.383447 2.199493 102.241568
3.256593 -3.646633 -0.390041 2.197293 104.400708
3.315522 -3.712075 -0.396554 2.195096 103.071662
3.336024 -3.739335 -0.403311 2.192901 100.061862
3.187767 -3.597520 -0.409753 2.190708 107.134893
3.312172 -3.728355 -0.416182 2.188517 100.934122
3.240520 -3.663399 -0.422879 2.186329 104.891879
3.323100 -3.752389 -0.429289 2.184142 100.536479
3.395779 -3.831891 -0.436112 2.181958 97.976730
3.302595 -3.745421 -0.442827 2.179776 99.946125
3.274023 -3.723399 -0.449376 2.177596 99.150176
3.220619 -3.676517 -0.455897 2.175419 102.223576
3.283381 -3.745758 -0.462376 2.173243 98.505067
3.221512 -3.690463 -0.468951 2.171070 102.372986
3.221702 -3.697050 -0.475348 2.168899 100.656787
3.216223 -3.698020 -0.481797 2.166730 101.077258
3.247585 -3.735864 -0.488279 2.164563 99.408196
3.230912 -3.725694 -0.494782 2.162399 99.167932
3.207825 -3.709039 -0.501214 2.160236 100.343500
3.287943 -3.795616 -0.507673 2.158076 99.524578
3.361659 -3.876041 -0.514382 2.155918 97.401817
3.374196 -3.895358 -0.521162 2.153762 96.071776
3.280576 -3.808374 -0.527798 2.151608 99.911900
3.321718 -3.856114 -0.534396 2.149457 96.829129
3.292488 -3.833578 -0.541090 2.147307 96.074148
3.134152 -3.681621 -0.547469 2.145160 103.709025
3.228385 -3.782186 -0.553800 2.143015 99.766161
3.210352 -3.770665 -0.560314 2.140872 101.020098
3.225711 -3.792381 -0.566670 2.138731 100.509988
3.259231 -3.832419 -0.573188 2.136592 98.950159
3.270108 -3.849821 -0.579713 2.134456 98.276883
3.231488 -3.817728 -0.586239 2.132321 99.550172
3.222068 -3.814732 -0.592664 2.130189 100.166956
3.229649 -3.828833 -0.599184 2.128059 98.648773
3.149195 -3.754699 -0.605504 2.125931 102.451931
3.276536 -3.888434 -0.611898 2.123805 97.294208
