T Cv
1.508383 1.500700
1.506874 1.500648
1.505368 1.500613
1.503862 1.500617
1.502358 1.500603
1.500856 1.500615
1.499355 1.500601
1.497856 1.500608
1.496358 1.500644
1.494862 1.500669
1.493367 1.500661
1.491873 1.500670
1.490381 1.500701
1.488891 1.500697
1.487402 1.500667
1.485915 1.500685
1.484429 1.500641
1.482944 1.500612
1.481461 1.500597
1.479980 1.500616
1.478500 1.500633
1.477021 1.500631
1.475544 1.500638
1.474069 1.500608
1.472595 1.500606
1.471122 1.500595
1.469651 1.500590
1.468181 1.500649
1.466713 1.500656
1.465247 1.500621
1.463781 1.500620
1.462318 1.500630
1.460855 1.500618
1.459394 1.500606
1.457935 1.500612
1.456477 1.500618
1.455021 1.500618
1.453566 1.500624
1.452112 1.500619
1.450660 1.500606
1.449209 1.500585
1.447760 1.500561
1.446312 1.500609
1.444866 1.500617
1.443421 1.500597
1.441978 1.500617
1.440536 1.500629
1.439095 1.500630
1.437656 1.500652
1.436218 1.500640
1.434782 1.500626
1.433347 1.500634
1.431914 1.500647
1.430482 1.500638
1.429052 1.500627
1.427623 1.500656
1.426195 1.500661
1.424769 1.500640
1.423344 1.500635
1.421921 1.500645
1.420499 1.500665
1.419078 1.500620
1.417659 1.500570
1.416242 1.500577
1.414825 1.500613
1.413410 1.500648
1.411997 1.500664
1.410585 1.500681
1.409174 1.500664
1.407765 1.500638
1.406358 1.500649
1.404951 1.500644
1.403546 1.500631
1.402143 1.500648
1.400741 1.500596
1.399340 1.500546
1.397940 1.500570
1.396542 1.500574
1.395146 1.500582
1.393751 1.500624
1.392357 1.500652
1.390965 1.500634
1.389574 1.500592
1.388184 1.500547
1.386796 1.500565
1.385409 1.500626
1.384024 1.500644
1.382640 1.500621
1.381257 1.500599
1.379876 1.500569
1.378496 1.500584
1.377117 1.500591
1.375740 1.500608
1.374365 1.500610
1.372990 1.500590
1.371617 1.500591
1.370246 1.500588
1.368875 1.500574
1.367507 1.500575
1.366139 1.500567
1.364773 1.500559
1.363408 1.500580
1.362045 1.500594
1.360683 1.500549
1.359322 1.500539
1.357963 1.500619
1.356605 1.500656
1.355248 1.500634
1.353893 1.500590
1.352539 1.500571
1.351186 1.500570
1.349835 1.500589
1.348485 1.500621
1.347137 1.500597
1.345790 1.500567
1.344444 1.500590
1.343100 1.500582
1.341756 1.500560
1.340415 1.500553
1.339074 1.500545
1.337735 1.500564
1.336397 1.500558
1.335061 1.500524
1.333726 1.500579
1.332392 1.500597
1.331060 1.500621
1.329729 1.500626
1.328399 1.500613
1.327071 1.500616
1.325744 1.500621
1.324418 1.500614
1.323093 1.500602
1.321770 1.500594
1.320449 1.500584
1.319128 1.500552
1.317809 1.500528
1.316491 1.500512
1.315175 1.500526
1.313860 1.500578
1.312546 1.500585
1.311233 1.500570
1.309922 1.500562
1.308612 1.500584
1.307303 1.500593
1.305996 1.500582
1.304690 1.500575
1.303385 1.500569
1.302082 1.500572
1.300780 1.500571
1.299479 1.500566
1.298180 1.500556
1.296881 1.500584
1.295585 1.500604
1.294289 1.500593
1.292995 1.500561
