Ecin Epot Etot Temp Pre
4.032967 -1.763103 2.269864 2.497500 18.320724
3.965593 -1.703707 2.261886 2.495003 20.021968
3.961143 -1.707157 2.253986 2.492507 19.906677
4.008020 -1.762001 2.246019 2.490015 18.404407
4.023525 -1.785589 2.237936 2.487525 17.798556
3.934995 -1.705011 2.229984 2.485037 20.883948
3.995000 -1.772901 2.222099 2.482552 18.843306
4.019690 -1.805645 2.214045 2.480070 18.003012
3.957459 -1.751399 2.206060 2.477590 19.703301
3.951884 -1.753725 2.198159 2.475112 19.641423
3.944726 -1.754512 2.190214 2.472637 19.363349
3.916476 -1.734074 2.182403 2.470164 19.777835
3.938345 -1.763805 2.174540 2.467694 18.587535
3.902012 -1.735334 2.166677 2.465227 19.345642
3.901850 -1.742957 2.158893 2.462761 18.776410
3.911069 -1.760007 2.151062 2.460299 18.383937
3.917309 -1.774070 2.143238 2.457838 17.804797
3.922165 -1.786769 2.135396 2.455380 17.805131
3.905175 -1.777620 2.127554 2.452925 18.125022
3.865533 -1.745754 2.119779 2.450472 18.957313
3.879199 -1.767136 2.112063 2.448022 18.180455
3.885557 -1.781272 2.104285 2.445574 17.860884
3.907286 -1.810801 2.096485 2.443128 16.941821
3.905177 -1.816504 2.088673 2.440685 17.352910
3.914117 -1.833275 2.080843 2.438244 16.785797
3.870579 -1.797545 2.073034 2.435806 18.380117
3.845609 -1.780259 2.065351 2.433370 18.942848
3.857710 -1.800090 2.057619 2.430937 18.141507
3.852849 -1.802925 2.049924 2.428506 17.961237
3.844127 -1.801936 2.042191 2.426077 17.570085
3.792149 -1.757562 2.034587 2.423651 19.222276
3.854307 -1.827367 2.026940 2.421228 16.871130
3.838870 -1.819660 2.019210 2.418806 17.016018
3.778583 -1.766998 2.011585 2.416388 18.590729
3.789101 -1.785035 2.004066 2.413971 17.607176
3.798983 -1.802547 1.996435 2.411557 17.066548
3.766954 -1.778089 1.988865 2.409146 17.603028
3.776665 -1.795316 1.981349 2.406737 16.990110
3.783774 -1.810015 1.973758 2.404330 16.594943
3.745787 -1.779576 1.966212 2.401926 17.651960
3.711037 -1.752292 1.958745 2.399524 18.573516
3.736927 -1.785601 1.951327 2.397124 17.516655
3.733666 -1.789837 1.943829 2.394727 17.633567
3.714714 -1.778323 1.936390 2.392332 18.115080
3.737642 -1.808708 1.928934 2.389940 17.188330
3.758718 -1.837299 1.921419 2.387550 16.573108
3.726447 -1.812517 1.913930 2.385162 17.307146
3.719393 -1.812924 1.906469 2.382777 16.885372
3.670566 -1.771473 1.899093 2.380394 18.551093
3.667793 -1.776047 1.891746 2.378014 18.516621
3.671008 -1.786585 1.884423 2.375636 18.164315
3.741777 -1.864772 1.877005 2.373260 15.161103
3.716215 -1.846723 1.869492 2.370887 16.083260
3.661595 -1.799463 1.862132 2.368516 17.687371
3.642398 -1.787565 1.854833 2.366148 17.915444
3.646392 -1.798835 1.847557 2.363782 17.751934
3.676217 -1.836002 1.840215 2.361418 16.868089
3.629173 -1.796296 1.832876 2.359056 18.088556
3.586197 -1.760493 1.825704 2.356697 19.499729
3.630945 -1.812474 1.818471 2.354341 18.072955
3.640401 -1.829200 1.811201 2.351986 17.617880
3.596416 -1.792484 1.803933 2.349634 18.728404
3.562188 -1.765409 1.796779 2.347285 18.913326
3.543033 -1.753345 1.789689 2.344937 19.058013
3.584892 -1.802340 1.782552 2.342592 17.760058
3.573453 -1.798059 1.775395 2.340250 18.246857
3.575738 -1.807486 1.768252 2.337910 18.075674
3.618041 -1.856978 1.761062 2.335572 16.087803
3.577740 -1.823935 1.753805 2.333236 16.861714
3.543694 -1.796945 1.746749 2.330903 17.914114
3.566780 -1.827162 1.739618 2.328572 16.842683
3.569316 -1.836847 1.732469 2.326243 16.743175
3.578876 -1.853557 1.725319 2.323917 16.010844
3.557080 -1.838896 1.718185 2.321593 16.409509
3.551724 -1.840652 1.711072 2.319272 16.333665
3.539137 -1.835175 1.703962 2.316952 16.838360
3.530006 -1.833100 1.696906 2.314635 17.216700
3.513560 -1.823717 1.689843 2.312321 17.363572
3.484057 -1.801215 1.682842 2.310009 18.216574
3.499298 -1.823411 1.675886 2.307698 17.832484
3.500070 -1.831219 1.668850 2.305391 17.406662
3.482424 -1.820531 1.661894 2.303085 17.787863
3.490682 -1.835781 1.654900 2.300782 17.368357
3.489774 -1.841844 1.647930 2.298482 16.841006
3.494988 -1.854071 1.640917 2.296183 16.080641
3.517568 -1.883646 1.633922 2.293887 15.130438
3.504087 -1.877207 1.626880 2.291593 15.367401
3.485115 -1.865229 1.619886 2.289301 15.832896
3.473674 -1.860739 1.612935 2.287012 16.041319
3.469725 -1.863740 1.605985 2.284725 15.802164
3.465004 -1.865954 1.599050 2.282440 15.878347
3.494026 -1.901915 1.592111 2.280158 14.971507
3.478454 -1.893367 1.585087 2.277878 15.229959
3.421257 -1.843055 1.578202 2.275600 16.719119
3.402541 -1.831153 1.571388 2.273324 17.114545
3.406866 -1.842297 1.564569 2.271051 16.807941
3.391656 -1.833891 1.557765 2.268780 17.393462
3.417648 -1.866684 1.550965 2.266511 16.421968
3.401678 -1.857572 1.544107 2.264245 16.887452
3.367524 -1.830163 1.537361 2.261980 17.311240
3.351067 -1.820414 1.530653 2.259718 17.043659
3.336083 -1.812132 1.523951 2.257459 16.692325
3.358782 -1.841503 1.517278 2.255201 15.687400
3.387741 -1.877231 1.510510 2.252946 14.596630
3.368007 -1.864266 1.503741 2.250693 15.008024
3.339584 -1.842561 1.497024 2.248442 15.317608
3.310703 -1.820311 1.490392 2.246194 15.973968
3.324207 -1.840445 1.483762 2.243948 15.383040
3.342028 -1.864960 1.477068 2.241704 14.717309
3.297005 -1.826580 1.470425 2.239462 16.128215
3.285100 -1.821269 1.463831 2.237223 16.036035
3.264599 -1.807293 1.457306 2.234985 16.673104
3.293988 -1.843263 1.450724 2.232750 15.404879
3.284658 -1.840521 1.444137 2.230518 15.449346
3.284132 -1.846545 1.437587 2.228287 15.285932
3.291748 -1.860749 1.430999 2.226059 15.025685
3.297020 -1.872603 1.424417 2.223833 14.907824
