pasos x w correlacion
178 0.078402 0.998439 0.596559
179 -0.008408 1.003043 0.594359
180 0.016413 0.999901 0.592161
181 -0.019706 0.999941 0.590050
182 0.012494 1.000116 0.587999
183 0.073870 0.997353 0.585957
184 0.096091 0.998113 0.583930
185 0.176211 0.989151 0.581903
186 0.202246 0.995085 0.579857
187 0.152986 1.008788 0.577761
188 0.224024 0.986698 0.575799
189 0.209586 1.003135 0.573935
190 0.170043 1.007534 0.572082
191 0.115155 1.007858 0.570345
192 0.037281 1.005953 0.568632
193 -0.035777 1.000055 0.567053
194 0.021845 1.000401 0.565482
195 0.079772 0.997061 0.563811
196 0.102817 0.997898 0.562020
197 0.174148 0.990171 0.560211
198 0.246864 0.984809 0.558420
199 0.196774 1.011173 0.556577
200 0.293741 0.976499 0.554685
201 0.210025 1.021310 0.552741
202 0.195386 1.002972 0.550671
203 0.147145 1.008296 0.548622
204 0.093698 1.006457 0.546533
205 0.018717 1.004223 0.544370
206 -0.065261 0.998048 0.542289
207 -0.153517 0.990392 0.540182
208 -0.070577 1.009337 0.538176
209 -0.084021 0.998961 0.536092
210 -0.016584 1.003398 0.534078
211 0.051836 0.998795 0.532155
212 0.031373 1.000852 0.530248
213 -0.067760 0.998198 0.528331
214 0.023200 1.002029 0.526419
215 -0.028581 0.999861 0.524518
216 -0.077554 0.997405 0.522682
217 0.011502 1.002945 0.520847
218 0.089547 0.996065 0.519084
219 0.177743 0.988282 0.517198
220 0.234974 0.988259 0.515386
221 0.163460 1.014349 0.513566
222 0.140062 1.003557 0.511747
223 0.123646 1.002167 0.510023
224 0.155632 0.995543 0.508178
225 0.068603 1.009805 0.506365
226 0.101016 0.997255 0.504607
227 0.161556 0.992084 0.502888
228 0.198682 0.993335 0.501203
229 0.236583 0.991785 0.499548
230 0.292129 0.985423 0.497850
231 0.365865 0.976033 0.496038
232 0.407178 0.984158 0.494266
233 0.417576 0.995721 0.492586
234 0.329331 1.033504 0.490939
235 0.258367 1.021072 0.489247
236 0.282363 0.993533 0.487476
237 0.366860 0.972944 0.485624
238 0.405768 0.985082 0.483791
239 0.336952 1.025885 0.482061
240 0.341240 0.998547 0.480287
241 0.262523 1.024048 0.478435
242 0.250868 1.002996 0.476611
243 0.307288 0.984378 0.474683
244 0.402167 0.966904 0.472691
245 0.476244 0.967988 0.470769
246 0.467568 1.004103 0.468904
247 0.517695 0.975608 0.467056
248 0.498636 1.009732 0.465169
249 0.597159 0.947451 0.463250
250 0.547575 1.028786 0.461288
251 0.497113 1.026709 0.459267
252 0.521177 0.987823 0.457243
253 0.608994 0.951587 0.455213
254 0.664925 0.965001 0.453119
255 0.696277 0.978888 0.451042
256 0.687368 1.006182 0.448985
257 0.720203 0.977156 0.446906
258 0.747472 0.980188 0.444897
259 0.731880 1.011600 0.442871
260 0.739995 0.994046 0.440820
261 0.747285 0.994593 0.438726
262 0.726676 1.015304 0.436686
263 0.634001 1.065081 0.434642
264 0.573302 1.037320 0.432700
265 0.551186 1.012513 0.430718
266 0.465371 1.044583 0.428793
267 0.396548 1.030104 0.426965
268 0.387414 1.003587 0.425098
269 0.426884 0.984058 0.423227
270 0.463778 0.983704 0.421306
271 0.530921 0.967158 0.419382
272 0.470840 1.030551 0.417352
273 0.546040 0.962487 0.415342
274 0.643532 0.943663 0.413394
275 0.722675 0.947372 0.411393
276 0.711087 1.008342 0.409425
277 0.752791 0.969937 0.407447
278 0.709903 1.031863 0.405395
279 0.691430 1.013027 0.403584
280 0.733470 0.970493 0.401708
281 0.812680 0.940601 0.399691
282 0.792163 1.016600 0.397595
283 0.753883 1.030033 0.395544
284 0.767998 0.989317 0.393551
285 0.814737 0.963688 0.391525
286 0.862014 0.961140 0.389522
287 0.789877 1.061392 0.387640
288 0.744395 1.035507 0.385792
289 0.826621 0.937452 0.383927
290 0.830152 0.997079 0.382109
291 0.911640 0.931493 0.380226
292 0.915232 0.996724 0.378408
293 0.902936 1.011241 0.376713
294 0.821021 1.073161 0.374922
295 0.736177 1.068291 0.373245
296 0.707193 1.021137 0.371666
297 0.746651 0.971725 0.370088
298 0.725620 1.015602 0.368466
299 0.760768 0.974216 0.366886
300 0.700510 1.045011 0.365359
301 0.723652 0.983656 0.363834
302 0.732450 0.993615 0.362307
303 0.741523 0.993336 0.360892
304 0.836439 0.927849 0.359389
305 0.930433 0.920316 0.357950
306 0.936625 0.994236 0.356607
307 0.975185 0.963811 0.355281
308 0.952910 1.021707 0.353932
309 1.014866 0.940863 0.352440
310 0.927030 1.089026 0.350924
311 0.983926 0.947089 0.349331
312 0.948308 1.035010 0.347780
313 0.850139 1.092289 0.346325
314 0.851711 0.998663 0.344916
315 0.903418 0.955637 0.343426
316 0.873379 1.027046 0.341935
317 0.961843 0.922032 0.340400
318 1.061299 0.904288 0.338891
319 1.073870 0.986669 0.337454
320 1.051222 1.024356 0.336041
321 1.008066 1.045438 0.334644
322 1.030580 0.977313 0.333184
323 0.934303 1.099204 0.331736
324 0.925443 1.008272 0.330330
325 1.012796 0.918829 0.329017
326 1.058254 0.954019 0.327745
327 1.119929 0.935037 0.326442
328 1.136448 0.981535 0.325192
329 1.052251 1.096520 0.323874
330 1.044691 1.007957 0.322654
331 1.062578 0.981330 0.321462
332 1.125791 0.933171 0.320172
333 1.094507 1.035341 0.318865
334 1.047969 1.051116 0.317734
335 0.994388 1.056241 0.316568
336 0.968737 1.025498 0.315406
337 0.892108 1.073900 0.314301
338 0.917893 0.976935 0.313132
339 0.854497 1.057789 0.311890
340 0.934898 0.930592 0.310595
341 1.027940 0.912732 0.309253
342 1.108249 0.917798 0.307950
343 1.198929 0.900678 0.306570
344 1.276998 0.907876 0.305229
345 1.214090 1.081506 0.303899
346 1.167089 1.057555 0.302630
347 1.213529 0.946222 0.301351
348 1.147716 1.080799 0.300030
349 1.143904 1.004377 0.298691
350 1.205213 0.930521 0.297393
351 1.130140 1.091617 0.296141
352 1.144804 0.983458 0.294747
353 1.197214 0.940473 0.293325
354 1.242769 0.945939 0.291883
355 1.145839 1.122731 0.290399
356 1.184167 0.956330 0.288812
357 1.098590 1.102605 0.287175
358 1.133915 0.961335 0.285556
359 1.145247 0.987170 0.283912
360 1.201147 0.936522 0.282407
361 1.228794 0.966968 0.280965
362 1.169713 1.073423 0.279532
363 1.126063 1.051383 0.278072
364 1.179907 0.939807 0.276630
365 1.089300 1.108272 0.275347
366 1.059017 1.033064 0.274011
367 1.027665 1.033251 0.272720
368 1.010968 1.017165 0.271487
369 1.020005 0.990865 0.270210
370 0.987603 1.033059 0.268952
371 1.062853 0.925753 0.267723
372 1.076858 0.985128 0.266561
373 1.070013 1.007375 0.265397
374 1.055373 1.015679 0.264208
375 1.052690 1.002832 0.263093
376 1.065853 0.986154 0.261864
377 1.121546 0.940906 0.260615
378 1.191656 0.922111 0.259379
379 1.264531 0.914391 0.258193
380 1.313901 0.938335 0.256985
381 1.367025 0.931266 0.255813
382 1.448689 0.891391 0.254655
383 1.453081 0.993649 0.253467
384 1.374609 1.117336 0.252429
385 1.439219 0.913107 0.251393
386 1.373186 1.097303 0.250279
387 1.404678 0.957202 0.249043
388 1.317423 1.126099 0.247698
389 1.294555 1.030315 0.246412
390 1.356078 0.921699 0.244981
391 1.284649 1.098902 0.243523
392 1.253877 1.039830 0.242133
393 1.349562 0.882890 0.240764
394 1.260292 1.123547 0.239324
395 1.287786 0.965578 0.237885
396 1.191998 1.126108 0.236388
397 1.170388 1.025854 0.234843
398 1.226765 0.934660 0.233261
399 1.291974 0.921159 0.231772
400 1.318827 0.965553 0.230240
401 1.415525 0.876163 0.228618
402 1.358483 1.082332 0.226973
403 1.414914 0.924730 0.225448
404 1.411035 1.005496 0.223831
405 1.331538 1.115178 0.222208
406 1.331538 0.932920 0.220606
407 1.322819 1.011639 0.219067
408 1.422568 0.872035 0.217655
409 1.450899 0.960114 0.216163
410 1.540120 0.875088 0.214685
411 1.498080 1.065945 0.213137
412 1.456157 1.063883 0.211676
413 1.498630 0.939179 0.210235
414 1.507965 0.986064 0.208704
415 1.598376 0.868990 0.207244
416 1.651408 0.917437 0.205827
417 1.640559 1.018018 0.204311
418 1.689666 0.921485 0.202641
419 1.630592 1.103042 0.200890
420 1.712555 0.871963 0.199256
421 1.796234 0.863462 0.197610
422 1.794113 1.003815 0.195876
423 1.871981 0.866983 0.194113
424 1.808567 1.123782 0.192351
425 1.749168 1.111446 0.190467
426 1.837394 0.853667 0.188715
427 1.745665 1.178610 0.187134
428 1.652568 1.171380 0.185645
429 1.661464 0.985367 0.184179
430 1.573739 1.152467 0.182673
431 1.499289 1.121193 0.181178
432 1.409360 1.139724 0.179814
433 1.441408 0.955348 0.178377
434 1.404599 1.053774 0.177010
435 1.386706 1.025287 0.175749
436 1.331031 1.078590 0.174409
437 1.264321 1.090426 0.173067
438 1.265850 0.998068 0.171689
439 1.252864 1.016488 0.170381
440 1.220762 1.040503 0.169244
441 1.146477 1.091907 0.168081
442 1.193136 0.946880 0.166930
443 1.221802 0.965979 0.165725
444 1.224699 0.996463 0.164502
445 1.272134 0.942501 0.163309
446 1.265300 1.008707 0.162026
447 1.187738 1.099804 0.160661
448 1.251982 0.924623 0.159360
449 1.173717 1.099575 0.158037
450 1.225993 0.939204 0.156838
451 1.209326 1.020501 0.155609
452 1.122877 1.106066 0.154410
453 1.065133 1.065210 0.153319
454 1.083355 0.980615 0.152252
455 1.107010 0.974426 0.151082
456 1.145070 0.958049 0.150164
457 1.228199 0.906065 0.149257
458 1.187899 1.049889 0.148332
459 1.163536 1.029058 0.147319
460 1.163536 0.937160 0.146257
461 1.097650 1.077335 0.145265
462 1.033894 1.070311 0.144322
463 0.973019 1.062990 0.143466
464 0.911069 1.060096 0.142610
465 0.871868 1.035564 0.141798
466 0.811499 1.052124 0.141080
467 0.865734 0.955537 0.140408
468 0.941942 0.933439 0.139730
469 0.931666 1.009673 0.139116
470 0.991974 0.943645 0.138509
471 0.990945 1.001020 0.137893
472 0.938646 1.051753 0.137140
473 0.857195 1.075877 0.136365
474 0.935960 0.931817 0.135562
475 0.847887 1.081723 0.134758
476 0.874294 0.977517 0.133940
477 0.925507 0.954959 0.133105
478 1.007489 0.923822 0.132265
479 0.947414 1.060479 0.131444
480 0.857662 1.084376 0.130589
481 0.915735 0.949810 0.129651
482 0.820545 1.086149 0.128568
483 0.831217 0.991225 0.127444
484 0.906326 0.936831 0.126343
485 0.867412 1.035114 0.125187
486 0.863790 1.003141 0.124078
487 0.894183 0.973638 0.122972
488 0.947899 0.951730 0.121869
489 0.891845 1.052914 0.120730
490 0.803351 1.077893 0.119566
491 0.709888 1.073276 0.118425
492 0.749461 0.971537 0.117223
